plant_name,Latitude,Longitude
Anhui Changjiang Steel Co Ltd,31.502272,118.465162
Anhui Guihang Special Steel Co Ltd,30.531068,117.251147
Tongling Fuxin Iron and Steel Co Ltd,30.907561,117.772866
Wuhu Fuxin Iron and Steel Co Ltd,31.194505,118.067833
Chongqing Iron & Steel Co Ltd,29.790253,107.040368
Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,39.812121,98.295555
SGIS Songshan Co Ltd,24.708232,113.635898
Liuzhou Iron & Steel Co Ltd(Liuzhou Base),24.385304,109.37963
Guangxi Shenglong Metallurgical Co Ltd,21.687637,108.412344
Guangxi Guigang Iron and Steel Group Co Ltd,23.088182,109.634638
Shougang Shuicheng Iron and Steel (Group) Co Ltd,26.595229,104.877413
Hebei Xinxing Ductile Iron Pipes Co Ltd,36.621504,114.128189
Chengde Iron and Steel Group Co Ltd,40.947707,117.719747
Tangshan Ruifeng Iron and Steel (Group) Co Ltd,39.497472,118.272056
Qian'an Jiujiang Wire Co Ltd,39.952209,118.559444
Hebei Puyang Iron and Steel Co Ltd,36.733675,113.925994
Hebei Jinxi Iron & Steel Group Co Ltd,40.209844,118.220547
Delong Steel Co Ltd,37.086116,114.384832
Zhongpu (Handan) Iron and Steel Co Ltd,36.721376,113.910271
Jinding Heavy Industry Co Ltd,36.718952,114.111677
Tangshan Fengnan Kaiheng Iron and Steel Co Ltd,39.4632,118.247191
Tangshan Donghai Iron and Steel Group Co Ltd,39.748373,118.624794
Xinji Aosen Iron and Steel Group Co Ltd,37.752351,115.184798
Jianlong Xilin Iron and Steel Co Ltd,47.495036,129.287919
Wuyang Iron and Steel Co Ltd,33.287536,113.474328
Angang Group Xinyang Iron and Steel Co Ltd,32.488704,114.038243
Nanyang Hanye Special Steel Co Ltd,33.269324,111.534635
Henan Fengbao Special Steel Co Ltd,36.131666,113.872158
Wuhan Iron and Steel Co Ltd,30.616222,114.444975
Baowu Group Echeng Iron and Steel Co Ltd,30.39574,114.861313
Daye Special Steel Co Ltd,30.204603,115.125838
Hunan Valin Lianyuan Iron and Steel Co Ltd,27.747782,111.967343
Hengyang Valin Steel Tube Co Ltd,26.865484,112.576853
Lengshuijiang Steel Co Ltd,27.690401,111.437288
Zhangjiagang Hongchang Steel Co Ltd,31.983146,120.638992
Jiangsu Shagang Group Huaigang Special Steel Co Ltd,33.566039,118.988442
Nanjing Iron & Steel Co Ltd,32.200797,118.746315
Jiangyin Xingcheng Special Steel Works Co Ltd,31.950191,120.328449
Changshu Longteng Special Steel Co Ltd,31.723833,120.835685
Jiangsu Binxin Steel Group Co Ltd,35.09556,119.279989
Fangda Special Steel Technology Co Ltd,28.645441,115.99204
Jiujiang Pinggang Iron and Steel Co Ltd,29.778431,116.27527
Xinyu Iron and Steel Group Co Ltd,27.786859,114.921595
Tonghua Iron and Steel Co Ltd,41.779125,126.022349
Angang Steel Co Ltd,41.148267,122.983054
Rizhao Steel Yingkou Medium Plate Co Ltd,40.671136,122.395441
Bengang Steel Plates Co Ltd,41.274132,123.722099
Yingkou Iron & Steel Co Ltd,40.664651,122.415057
Xining Special Steel Co Ltd,36.66856,101.671414
Weifang Special Steel Group Co Ltd,36.644469,119.238427
Baoshan Iron and Steel Co Ltd Headquarters,31.41623,121.440087
Shanxi Zhongyang Iron and Steel Co Ltd,37.370796,111.161118
Shanxi Gaoyi Steel Co Ltd,35.586841,111.258436
Shougang Changzhi Iron and Steel Co Ltd,36.356404,113.060809
Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd,43.852147,87.304639
Yunnan Qujing Iron and Steel Group Fenghuang Steel Co Ltd,26.275342,104.168311
Quzhou Yuanli Metal Products Co Ltd,28.893407,118.867125
Ningbo Iron & Steel Co Ltd,29.918776,121.876423
Shanxi Jianbang Group Casting Co Ltd,35.668163,111.37916
Yancheng Lianxin Iron and Steel Co Ltd,33.211332,120.774892
Shanxi Jinnan Iron and Steel Group Co Ltd,35.678541,111.51465
Yunnan Yuxi Xianfu Iron & Steel (Group) Co Ltd,24.012309,102.186364
Tangshan Zhengfeng Steel Co Ltd,39.85271,118.181279
Hebei Longfengshan Casting Co Ltd,36.705105,114.105387
Guangxi Guigang Iron and Steel Group Guigang Guibao Special Steel Co Ltd,23.089502,109.63938
Sichuan Dazhou Iron & Steel Group Co Ltd,31.18945,107.453099
Lishui Huahong Iron and Steel Products Co Ltd,28.090098,119.519509
Shanxi Huaqiang Iron and Steel Co Ltd,35.670848,111.378887
Chizhou Guichi Guihang Metal Products Co Ltd,30.532786,117.25166
Linzhou Iron and Steel Co Ltd,36.133342,113.873442
Shougang Guiyang Special Steel Co Ltd,26.873592,106.73215
