Plant_CO_MEAN,Plant_LSTA_MEAN,Plant_LSTT_MEAN,Latitude,Longitude,Plant_NO2_MEAN,Plant_O3_MEAN,Plant_SO2_MEAN,Plant_NTL_MEAN,id,month,output,year
0.05057043,,12787.35847,43.883141,87.563057,0.001800029,0.152679211,,54.72011499,ID00340792,1,102.32,2019
0.049801587,,12899.83528,43.883141,87.563057,0.001299095,0.16242603,,69.46629666,ID00340792,2,143.19,2019
0.042666485,,13509.02535,43.883141,87.563057,5.15E-04,0.162917758,3.81E-04,36.63538692,ID00340792,3,129.73,2019
0.037811427,,13976.5366,43.883141,87.563057,1.97E-04,0.147908548,3.84E-05,35.33586502,ID00340792,4,132.42,2019
0.034834548,,,43.883141,87.563057,1.80E-04,0.155879186,2.97E-04,34.11355128,ID00340792,5,134.17,2019
0.031095503,,,43.883141,87.563057,1.44E-04,0.151575438,-7.10E-06,32.61275273,ID00340792,6,133.46,2019
0.033061634,,14814.22843,43.883141,87.563057,1.51E-04,0.1407867,2.23E-04,31.34725255,ID00340792,7,121.1,2019
0.033536995,,14768.68627,43.883141,87.563057,1.64E-04,0.128569455,-1.28E-05,34.97162217,ID00340792,8,125.53,2019
0.034416718,,,43.883141,87.563057,2.26E-04,0.129460661,2.66E-04,34.18880397,ID00340792,9,116.51,2019
0.035901929,-7064.512745,13767.26113,43.883141,87.563057,3.27E-04,0.130028134,4.72E-04,42.53497024,ID00340792,10,127.29,2019
0.038688307,13950.40294,13364.04346,43.883141,87.563057,6.28E-04,0.137391642,-3685.906024,48.6850021,ID00340792,11,142.52,2019
0.043443184,4454.764706,12881.51176,43.883141,87.563057,0.001271944,0.140906025,,64.61143789,ID00340792,12,157.68,2019
0.048456827,,12988.65654,43.883141,87.563057,0.001452343,0.165969332,,61.93016985,ID00340792,1,112.3,2020
0.042615211,,13150.24311,43.883141,87.563057,6.19E-04,0.160382209,,49.27403011,ID00340792,2,135.56,2020
0.040863567,,13613.51498,43.883141,87.563057,2.32E-04,0.16158046,5.90E-04,38.14934366,ID00340792,3,125.43,2020
0.038062333,,,43.883141,87.563057,1.90E-04,0.149445415,3.24E-04,38.93203901,ID00340792,4,143.43,2020
0.034859024,,13996.05098,43.883141,87.563057,1.56E-04,0.142821935,1.60E-04,40.89085594,ID00340792,5,164.47,2020
0.031492372,,,43.883141,87.563057,1.40E-04,0.144564337,2.98E-05,41.30978453,ID00340792,6,171.01,2020
