Plant_CO_MEAN,Plant_LSTA_MEAN,Plant_LSTT_MEAN,Latitude,Longitude,Plant_NO2_MEAN,Plant_O3_MEAN,Plant_SO2_MEAN,Plant_NTL_MEAN,id,month,output,year,month_sin,month_cos,Plant_CO_MEAN_lag1,Plant_NO2_MEAN_lag1,Plant_SO2_MEAN_lag1,Plant_LSTA_MEAN_lag1,Plant_LSTT_MEAN_lag1,Plant_NTL_MEAN_lag1,Plant_O3_MEAN_lag1,Plant_CO_MEAN_lag2,Plant_NO2_MEAN_lag2,Plant_SO2_MEAN_lag2,Plant_LSTA_MEAN_lag2,Plant_LSTT_MEAN_lag2,Plant_NTL_MEAN_lag2,Plant_O3_MEAN_lag2,Plant_CO_MEAN_lag3,Plant_NO2_MEAN_lag3,Plant_SO2_MEAN_lag3,Plant_LSTA_MEAN_lag3,Plant_LSTT_MEAN_lag3,Plant_NTL_MEAN_lag3,Plant_O3_MEAN_lag3
0.05057043,,12787.35847,43.883141,87.563057,0.001800029,0.152679211,,54.72011499,ID00340792,1,102.32,2019,0.5,0.866025404,,,,,,,,,,,,,,,,,,,,,
0.049801587,,12899.83528,43.883141,87.563057,0.001299095,0.16242603,,69.46629666,ID00340792,2,143.19,2019,0.866025404,0.5,0.05057043,0.001800029,,,12787.35847,54.72011499,0.152679211,,,,,,,,,,,,,,
0.042666485,,13509.02535,43.883141,87.563057,0.000515,0.162917758,0.000381,36.63538692,ID00340792,3,129.73,2019,1,6.12E-17,0.049801587,0.001299095,,,12899.83528,69.46629666,0.16242603,0.05057043,0.001800029,,,12787.35847,54.72011499,0.152679211,,,,,,,
0.037811427,,13976.5366,43.883141,87.563057,0.000197,0.147908548,3.84E-05,35.33586502,ID00340792,4,132.42,2019,0.866025404,-0.5,0.042666485,0.000515,0.000381,,13509.02535,36.63538692,0.162917758,0.049801587,0.001299095,,,12899.83528,69.46629666,0.16242603,0.05057043,0.001800029,,,12787.35847,54.72011499,0.152679211
0.034834548,,,43.883141,87.563057,0.00018,0.155879186,0.000297,34.11355128,ID00340792,5,134.17,2019,0.5,-0.866025404,0.037811427,0.000197,3.84E-05,,13976.5366,35.33586502,0.147908548,0.042666485,0.000515,0.000381,,13509.02535,36.63538692,0.162917758,0.049801587,0.001299095,,,12899.83528,69.46629666,0.16242603
0.031095503,,,43.883141,87.563057,0.000144,0.151575438,-7.10E-06,32.61275273,ID00340792,6,133.46,2019,1.22E-16,-1,0.034834548,0.00018,0.000297,,,34.11355128,0.155879186,0.037811427,0.000197,3.84E-05,,13976.5366,35.33586502,0.147908548,0.042666485,0.000515,0.000381,,13509.02535,36.63538692,0.162917758
0.033061634,,14814.22843,43.883141,87.563057,0.000151,0.1407867,0.000223,31.34725255,ID00340792,7,121.1,2019,-0.5,-0.866025404,0.031095503,0.000144,-7.10E-06,,,32.61275273,0.151575438,0.034834548,0.00018,0.000297,,,34.11355128,0.155879186,0.037811427,0.000197,3.84E-05,,13976.5366,35.33586502,0.147908548
0.033536995,,14768.68627,43.883141,87.563057,0.000164,0.128569455,-1.28E-05,34.97162217,ID00340792,8,125.53,2019,-0.866025404,-0.5,0.033061634,0.000151,0.000223,,14814.22843,31.34725255,0.1407867,0.031095503,0.000144,-7.10E-06,,,32.61275273,0.151575438,0.034834548,0.00018,0.000297,,,34.11355128,0.155879186
0.034416718,,,43.883141,87.563057,0.000226,0.129460661,0.000266,34.18880397,ID00340792,9,116.51,2019,-1,-1.84E-16,0.033536995,0.000164,-1.28E-05,,14768.68627,34.97162217,0.128569455,0.033061634,0.000151,0.000223,,14814.22843,31.34725255,0.1407867,0.031095503,0.000144,-7.10E-06,,,32.61275273,0.151575438
0.035901929,-7064.512745,13767.26113,43.883141,87.563057,0.000327,0.130028134,0.000472,42.53497024,ID00340792,10,127.29,2019,-0.866025404,0.5,0.034416718,0.000226,0.000266,,,34.18880397,0.129460661,0.033536995,0.000164,-1.28E-05,,14768.68627,34.97162217,0.128569455,0.033061634,0.000151,0.000223,,14814.22843,31.34725255,0.1407867
0.038688307,13950.40294,13364.04346,43.883141,87.563057,0.000628,0.137391642,-3685.906024,48.6850021,ID00340792,11,142.52,2019,-0.5,0.866025404,0.035901929,0.000327,0.000472,-7064.512745,13767.26113,42.53497024,0.130028134,0.034416718,0.000226,0.000266,,,34.18880397,0.129460661,0.033536995,0.000164,-1.28E-05,,14768.68627,34.97162217,0.128569455
0.043443184,4454.764706,12881.51176,43.883141,87.563057,0.001271944,0.140906025,,64.61143789,ID00340792,12,157.68,2019,-2.45E-16,1,0.038688307,0.000628,-3685.906024,13950.40294,13364.04346,48.6850021,0.137391642,0.035901929,0.000327,0.000472,-7064.512745,13767.26113,42.53497024,0.130028134,0.034416718,0.000226,0.000266,,,34.18880397,0.129460661
0.048456827,,12988.65654,43.883141,87.563057,0.001452343,0.165969332,,61.93016985,ID00340792,1,112.3,2020,0.5,0.866025404,0.043443184,0.001271944,,4454.764706,12881.51176,64.61143789,0.140906025,0.038688307,0.000628,-3685.906024,13950.40294,13364.04346,48.6850021,0.137391642,0.035901929,0.000327,0.000472,-7064.512745,13767.26113,42.53497024,0.130028134
0.042615211,,13150.24311,43.883141,87.563057,0.000619,0.160382209,,49.27403011,ID00340792,2,135.56,2020,0.866025404,0.5,0.048456827,0.001452343,,,12988.65654,61.93016985,0.165969332,0.043443184,0.001271944,,4454.764706,12881.51176,64.61143789,0.140906025,0.038688307,0.000628,-3685.906024,13950.40294,13364.04346,48.6850021,0.137391642
0.040863567,,13613.51498,43.883141,87.563057,0.000232,0.16158046,0.00059,38.14934366,ID00340792,3,125.43,2020,1,6.12E-17,0.042615211,0.000619,,,13150.24311,49.27403011,0.160382209,0.048456827,0.001452343,,,12988.65654,61.93016985,0.165969332,0.043443184,0.001271944,,4454.764706,12881.51176,64.61143789,0.140906025
0.038062333,,,43.883141,87.563057,0.00019,0.149445415,0.000324,38.93203901,ID00340792,4,143.43,2020,0.866025404,-0.5,0.040863567,0.000232,0.00059,,13613.51498,38.14934366,0.16158046,0.042615211,0.000619,,,13150.24311,49.27403011,0.160382209,0.048456827,0.001452343,,,12988.65654,61.93016985,0.165969332
0.034859024,,13996.05098,43.883141,87.563057,0.000156,0.142821935,0.00016,40.89085594,ID00340792,5,164.47,2020,0.5,-0.866025404,0.038062333,0.00019,0.000324,,,38.93203901,0.149445415,0.040863567,0.000232,0.00059,,13613.51498,38.14934366,0.16158046,0.042615211,0.000619,,,13150.24311,49.27403011,0.160382209
0.031492372,,,43.883141,87.563057,0.00014,0.144564337,2.98E-05,41.30978453,ID00340792,6,171.01,2020,1.22E-16,-1,0.034859024,0.000156,0.00016,,13996.05098,40.89085594,0.142821935,0.038062333,0.00019,0.000324,,,38.93203901,0.149445415,0.040863567,0.000232,0.00059,,13613.51498,38.14934366,0.16158046
0.030567269,,14792.61667,43.883141,87.563057,0.000126,0.138241159,0.000218,34.28877945,ID00340792,7,163.68,2020,-0.5,-0.866025404,0.031492372,0.00014,2.98E-05,,,41.30978453,0.144564337,0.034859024,0.000156,0.00016,,13996.05098,40.89085594,0.142821935,0.038062333,0.00019,0.000324,,,38.93203901,0.149445415
0.030019678,,,43.883141,87.563057,0.000101,0.132019104,9.07E-05,28.8103578,ID00340792,8,171.44,2020,-0.866025404,-0.5,0.030567269,0.000126,0.000218,,14792.61667,34.28877945,0.138241159,0.031492372,0.00014,2.98E-05,,,41.30978453,0.144564337,0.034859024,0.000156,0.00016,,13996.05098,40.89085594,0.142821935
0.033944909,2327.845098,13905.82598,43.883141,87.563057,0.000188,0.131221957,0.000412,35.92400035,ID00340792,9,169.35,2020,-1,-1.84E-16,0.030019678,0.000101,9.07E-05,,,28.8103578,0.132019104,0.030567269,0.000126,0.000218,,14792.61667,34.28877945,0.138241159,0.031492372,0.00014,2.98E-05,,,41.30978453,0.144564337
0.038894164,,13796.66089,43.883141,87.563057,0.000297,0.130670767,0.000762,44.40043811,ID00340792,10,164.12,2020,-0.866025404,0.5,0.033944909,0.000188,0.000412,2327.845098,13905.82598,35.92400035,0.131221957,0.030019678,0.000101,9.07E-05,,,28.8103578,0.132019104,0.030567269,0.000126,0.000218,,14792.61667,34.28877945,0.138241159
0.040683161,,13608.52222,43.883141,87.563057,0.000389,0.127269668,0.000573,45.42456113,ID00340792,11,175.86,2020,-0.5,0.866025404,0.038894164,0.000297,0.000762,,13796.66089,44.40043811,0.130670767,0.033944909,0.000188,0.000412,2327.845098,13905.82598,35.92400035,0.131221957,0.030019678,0.000101,9.07E-05,,,28.8103578,0.132019104
0.053243604,,12776.00412,43.883141,87.563057,0.001585853,0.142795744,,54.35012413,ID00340792,12,201.54,2020,-2.45E-16,1,0.040683161,0.000389,0.000573,,13608.52222,45.42456113,0.127269668,0.038894164,0.000297,0.000762,,13796.66089,44.40043811,0.130670767,0.033944909,0.000188,0.000412,2327.845098,13905.82598,35.92400035,0.131221957
0.050396567,,12671.95718,43.883141,87.563057,0.001303109,0.145154623,,60.3159565,ID00340792,1,144.1,2021,0.5,0.866025404,0.053243604,0.001585853,,,12776.00412,54.35012413,0.142795744,0.040683161,0.000389,0.000573,,13608.52222,45.42456113,0.127269668,0.038894164,0.000297,0.000762,,13796.66089,44.40043811,0.130670767
0.046838542,,13091.26712,43.883141,87.563057,0.000967,0.153775373,-4999.499795,109.9817387,ID00340792,2,164.54,2021,0.866025404,0.5,0.050396567,0.001303109,,,12671.95718,60.3159565,0.145154623,0.053243604,0.001585853,,,12776.00412,54.35012413,0.142795744,0.040683161,0.000389,0.000573,,13608.52222,45.42456113,0.127269668
0.042372032,2088.972059,13418.2049,43.883141,87.563057,0.000546,0.161103,-0.000256,50.37557057,ID00340792,3,142.13,2021,1,6.12E-17,0.046838542,0.000967,-4999.499795,,13091.26712,109.9817387,0.153775373,0.050396567,0.001303109,,,12671.95718,60.3159565,0.145154623,0.053243604,0.001585853,,,12776.00412,54.35012413,0.142795744
0.039975635,,13902.19902,43.883141,87.563057,0.000247,0.157496921,0.000331,43.8235323,ID00340792,4,169.2,2021,0.866025404,-0.5,0.042372032,0.000546,-0.000256,2088.972059,13418.2049,50.37557057,0.161103,0.046838542,0.000967,-4999.499795,,13091.26712,109.9817387,0.153775373,0.050396567,0.001303109,,,12671.95718,60.3159565,0.145154623
0.035799371,,13993.53824,43.883141,87.563057,0.000163,0.146755307,0.000337,40.62499934,ID00340792,5,168.58,2021,0.5,-0.866025404,0.039975635,0.000247,0.000331,,13902.19902,43.8235323,0.157496921,0.042372032,0.000546,-0.000256,2088.972059,13418.2049,50.37557057,0.161103,0.046838542,0.000967,-4999.499795,,13091.26712,109.9817387,0.153775373
0.030061616,,,43.883141,87.563057,0.000146,0.14321785,-0.000218,35.70430963,ID00340792,6,173.05,2021,1.22E-16,-1,0.035799371,0.000163,0.000337,,13993.53824,40.62499934,0.146755307,0.039975635,0.000247,0.000331,,13902.19902,43.8235323,0.157496921,0.042372032,0.000546,-0.000256,2088.972059,13418.2049,50.37557057,0.161103
0.032617463,5845.942157,14872.23,43.883141,87.563057,0.000141,0.137036518,1.29E-05,36.96200967,ID00340792,7,167.4,2021,-0.5,-0.866025404,0.030061616,0.000146,-0.000218,,,35.70430963,0.14321785,0.035799371,0.000163,0.000337,,13993.53824,40.62499934,0.146755307,0.039975635,0.000247,0.000331,,13902.19902,43.8235323,0.157496921
0.038921763,,-6732.027451,43.883141,87.563057,0.00016,0.137816574,0.000114,36.57827202,ID00340792,8,169.47,2021,-0.866025404,-0.5,0.032617463,0.000141,1.29E-05,5845.942157,14872.23,36.96200967,0.137036518,0.030061616,0.000146,-0.000218,,,35.70430963,0.14321785,0.035799371,0.000163,0.000337,,13993.53824,40.62499934,0.146755307
0.037455922,,14083.98725,43.883141,87.563057,0.000211,0.130670078,0.000125,35.54744358,ID00340792,9,167.23,2021,-1,-1.84E-16,0.038921763,0.00016,0.000114,,-6732.027451,36.57827202,0.137816574,0.032617463,0.000141,1.29E-05,5845.942157,14872.23,36.96200967,0.137036518,0.030061616,0.000146,-0.000218,,,35.70430963,0.14321785
0.036971512,,13775.18682,43.883141,87.563057,0.000313,0.132773157,0.000438,35.83758048,ID00340792,10,158.79,2021,-0.866025404,0.5,0.037455922,0.000211,0.000125,,14083.98725,35.54744358,0.130670078,0.038921763,0.00016,0.000114,,-6732.027451,36.57827202,0.137816574,0.032617463,0.000141,1.29E-05,5845.942157,14872.23,36.96200967,0.137036518
0.037781043,10945.92206,13327.01397,43.883141,87.563057,0.000581,0.139819914,,45.6857282,ID00340792,11,175.41,2021,-0.5,0.866025404,0.036971512,0.000313,0.000438,,13775.18682,35.83758048,0.132773157,0.037455922,0.000211,0.000125,,14083.98725,35.54744358,0.130670078,0.038921763,0.00016,0.000114,,-6732.027451,36.57827202,0.137816574
0.040403015,,12955.71642,43.883141,87.563057,0.001091441,0.14498408,,55.66805372,ID00340792,12,198.72,2021,-2.45E-16,1,0.037781043,0.000581,,10945.92206,13327.01397,45.6857282,0.139819914,0.036971512,0.000313,0.000438,,13775.18682,35.83758048,0.132773157,0.037455922,0.000211,0.000125,,14083.98725,35.54744358,0.130670078
0.046828575,,12970.01237,43.883141,87.563057,0.001104382,0.155842864,,51.35582189,ID00340792,1,133.6,2022,0.5,0.866025404,0.040403015,0.001091441,,,12955.71642,55.66805372,0.14498408,0.037781043,0.000581,,10945.92206,13327.01397,45.6857282,0.139819914,0.036971512,0.000313,0.000438,,13775.18682,35.83758048,0.132773157
0.047425862,,13001.3641,43.883141,87.563057,0.001168287,0.168483375,,50.46008559,ID00340792,2,173.46,2022,0.866025404,0.5,0.046828575,0.001104382,,,12970.01237,51.35582189,0.155842864,0.040403015,0.001091441,,,12955.71642,55.66805372,0.14498408,0.037781043,0.000581,,10945.92206,13327.01397,45.6857282,0.139819914
0.037249111,,13588.8282,43.883141,87.563057,0.000315,0.153385601,0.000302,41.32797819,ID00340792,3,141.54,2022,1,6.12E-17,0.047425862,0.001168287,,,13001.3641,50.46008559,0.168483375,0.046828575,0.001104382,,,12970.01237,51.35582189,0.155842864,0.040403015,0.001091441,,,12955.71642,55.66805372,0.14498408
