id,mode
ID00338511,3 
ID00319631,
ID00338510,2 
ID01666938,2 
ID00368377,
ID00319720,2 
ID00319721,
ID01666942,2 
ID00319616,
ID00319636,2 
ID00319632,2 
ID00319671,2 
ID00353404,
ID00319665,2 
ID00351933,1 
ID00319624,2 
ID00319652,
ID00344536,2 
ID00338840,2 
ID00339462,2 
ID00319611,2 
ID00340792,
ID00319662,2 
ID00338845,
ID00319704,
ID01666935,1 
ID01666958,3 
ID00319621,2 
ID00319649,2 
ID00344533,
ID01666960,2 
ID01666937,
ID01666949,
ID00319713,
ID00319694,3 
ID00353798,2 
ID00338838,2 
ID00319686,2 
ID00353797,
ID00319685,2 
ID01666947,
ID00319653,2 
ID00319693,
ID00319703,
ID00319622,2 
ID00319705,3 
ID01666948,
ID00368376,2 
ID00319699,3 
ID00319701,
ID00319700,
ID00319702,2 
ID01666936,
ID00319675,3 
ID00319695,2 
ID00319617,
ID00319710,2 
ID00344500,2 
ID01666941,1 
ID00340793,2 
ID01666955,
ID00319690,
ID01666954,
ID00319714,2 
ID00319614,2 
ID00319698,2 
ID00344506,2 
ID00319615,2 
ID00319650,2 
ID01666943,2 
ID00319718,2 
ID00353796,3 
ID00319728,2 
ID00319727,
ID01666950,2 
ID00319619,3 
ID00319630,2 
ID01666939,2 
ID01666953,3 
ID00319655,2 
ID00319707,2 
ID00338839,2 
ID01666951,
ID00338600,2 
ID00319719,
ID00319697,2 
ID00319708,2 
ID00319663,2 
ID00319627,2 
ID00353795,2 
ID01056130,
ID00338844,
ID00319674,3 
ID00368480,
ID00319642,
ID00365970,2 
ID00338841,3 
ID01666946,2 
ID00319644,2 
ID00319717,2 
ID00319641,2 
ID00319725,1 
ID00338819,
ID00319724,2 
ID00319726,2 
ID00319723,
ID00319629,2 
ID00319639,3 
ID00351930,
ID00351929,1 
ID00319628,
ID01666952,
ID00319711,2 
ID00351932,2 
ID00319640,2 
ID00319667,2 
ID00319670,
ID00319669,2 
ID00319709,3 
ID01666945,2 
ID00319654,
ID00319660,2 
ID00319689,2 
ID00319645,2 
ID00319661,2 
ID00319712,2 
ID00319681,3 
ID00319637,1 
ID00365874,
ID00319672,3 
ID00368378,2 
ID00351934,2 
ID00338837,
ID01666959,1 
ID01056111,1 
ID01666957,
ID01666956,1 
ID00319647,2 
ID00319613,
ID00319715,2 
