radius_km,threshold,hit_rate,n_hit,n_total
1,0.5,0.8769230769230769,171,195
2,0.5,0.9128205128205128,178,195
3,0.5,0.9179487179487179,179,195
4,0.5,0.9333333333333333,182,195
5,0.5,0.9435897435897436,184,195
6,0.5,0.9487179487179487,185,195
7,0.5,0.9538461538461539,186,195
8,0.5,0.9641025641025641,188,195
9,0.5,0.9692307692307692,189,195
10,0.5,0.9743589743589743,190,195
1,0.7,0.8461538461538461,165,195
2,0.7,0.9076923076923077,177,195
3,0.7,0.9128205128205128,178,195
4,0.7,0.9282051282051282,181,195
5,0.7,0.9384615384615385,183,195
6,0.7,0.9435897435897436,184,195
7,0.7,0.9538461538461539,186,195
8,0.7,0.958974358974359,187,195
9,0.7,0.9641025641025641,188,195
10,0.7,0.9743589743589743,190,195
1,0.9,0.717948717948718,140,195
2,0.9,0.8,156,195
3,0.9,0.8358974358974359,163,195
4,0.9,0.8512820512820513,166,195
5,0.9,0.8871794871794871,173,195
6,0.9,0.9076923076923077,177,195
7,0.9,0.9076923076923077,177,195
8,0.9,0.9128205128205128,178,195
9,0.9,0.9179487179487179,179,195
10,0.9,0.9179487179487179,179,195
