Spec,Variant,city,n_plants,n_obs,R2_log,Spearman,R2_demeaned,R2_log_relev
M_base (lat/lon),Raw,Tangshan,6.0,255.0,-2.5884,0.0706,,
M_base (lat/lon),Raw,Handan,5.0,224.0,-0.7096,-0.0483,,
M_base (lat/lon),Raw,Linfen,3.0,118.0,-0.6035,-0.3031,,
M_base (lat/lon),Raw,Suzhou,2.0,90.0,-2.7217,-0.6196,,
M_base (lat/lon),Raw,Qinhuangdao,2.0,75.0,-2.9455,-0.5251,,
M_base (lat/lon),Raw,Jinan,2.0,90.0,-2.0772,0.6669,,
M_base (lat/lon),Raw,Yuxi,2.0,90.0,-0.2369,0.0181,,
M_base (lat/lon),Raw,Xingtai,2.0,71.0,0.0483,0.3755,,
M_base (lat/lon),Raw,Chaoyang,1.0,45.0,-3.3594,0.3027,,
M_base (lat/lon),Raw,Changzhi,1.0,45.0,-8.5085,0.3047,,
M_base (lat/lon),Raw,Dongli District,1.0,45.0,-3.2137,0.1721,,
M_base (lat/lon),Raw,Ezhou,1.0,45.0,-2.0523,0.1602,,
M_base (lat/lon),Raw,Fangchenggang,1.0,32.0,-83.5721,0.1558,,
M_base (lat/lon),Raw,Chizhou,1.0,43.0,-4.7413,0.0245,,
M_base (lat/lon),Raw,Hanzhong City,1.0,43.0,-5.2875,0.3892,,
M_base (lat/lon),Raw,Hejin,1.0,45.0,-28.5425,0.4813,,
M_base (lat/lon),Raw,Dalian,1.0,45.0,-19.6984,-0.0357,,
M_base (lat/lon),Raw,Chengde,1.0,45.0,-1.7034,0.3064,,
M_base (lat/lon),Raw,Benxi,1.0,45.0,-88.321,-0.1613,,
M_base (lat/lon),Raw,Changshou,1.0,45.0,-0.7332,0.0652,,
M_base (lat/lon),Raw,Anyang,1.0,45.0,-0.1296,0.4051,,
M_base (lat/lon),Raw,Baoshan,1.0,45.0,-120.7448,0.364,,
M_base (lat/lon),Raw,Lengshuijiang,1.0,45.0,-22.503,-0.1345,,
M_base (lat/lon),Raw,Lanzhou,1.0,21.0,0.2222,0.1994,,
M_base (lat/lon),Raw,Jiujiang,1.0,45.0,-141.6524,0.2974,,
M_base (lat/lon),Raw,Jiangyin,1.0,45.0,-7.0126,-0.0545,,
M_base (lat/lon),Raw,Huai'an,1.0,45.0,-55.8043,0.1855,,
M_base (lat/lon),Raw,Huangshi,1.0,45.0,-0.4684,0.2531,,
M_base (lat/lon),Raw,Lvliang,1.0,45.0,-62.324,-0.141,,
M_base (lat/lon),Raw,Lianyungang,1.0,45.0,-0.0742,0.2888,,
M_base (lat/lon),Raw,Nanjing,1.0,45.0,-113.2629,0.0614,,
M_base (lat/lon),Raw,Nanchang,1.0,45.0,-12.3601,0.124,,
M_base (lat/lon),Raw,Ningbo,1.0,45.0,-8.1059,0.1441,,
M_base (lat/lon),Raw,Nanyang,1.0,45.0,-0.729,0.5026,,
M_base (lat/lon),Raw,Quzhou,1.0,45.0,-11.3272,-0.121,,
M_base (lat/lon),Raw,Ma'anshan,1.0,36.0,-0.5807,0.2388,,
M_base (lat/lon),Raw,Liupanshui,1.0,45.0,-1.2048,0.2582,,
M_base (lat/lon),Raw,Loudi,1.0,45.0,-41.0987,0.173,,
M_base (lat/lon),Raw,Shijiazhuang,1.0,32.0,-1.3512,0.2159,,
M_base (lat/lon),Raw,Shaoguan,1.0,45.0,-10.4451,0.1362,,
M_base (lat/lon),Raw,Rizhao,1.0,44.0,-14.2902,0.2458,,
M_base (lat/lon),Raw,Taiyuan,1.0,45.0,-54.7362,0.2792,,
M_base (lat/lon),Raw,Tongling,1.0,44.0,-0.613,0.1199,,
M_base (lat/lon),Raw,Weifang,1.0,44.0,0.3084,0.5247,,
M_base (lat/lon),Raw,Tongchun District,1.0,45.0,-71.9588,0.2462,,
M_base (lat/lon),Raw,Tonghua,1.0,45.0,-13.9512,0.1594,,
M_base (lat/lon),Raw,Wuxi,1.0,45.0,-13.0473,0.13,,
M_base (lat/lon),Raw,Wuhu,1.0,6.0,-207.6371,0.6,,
M_base (lat/lon),Raw,Xinyang,1.0,45.0,-0.7911,0.049,,
M_base (lat/lon),Raw,Xining,1.0,44.0,-0.2583,-0.0118,,
M_base (lat/lon),Raw,Yancheng,1.0,45.0,-0.4151,0.4903,,
M_base (lat/lon),Raw,Yichun,1.0,45.0,-17.2209,-0.0543,,
M_base (lat/lon),Raw,Yingkou,1.0,45.0,-10.3209,0.2418,,
M_base (lat/lon),Raw,Yuncheng,1.0,28.0,-2.5764,0.0257,,
M_base (lat/lon),Raw_summary_multi,MULTI_SUMMARY,,,-1.540879170779862,-0.034963474827245794,,
M_base (lat/lon),Raw_summary_single,SINGLE_SUMMARY,,,-24.544664458140723,0.1797779661016949,,
M_base (lat/lon),Demeaned,Tangshan,6.0,255.0,,0.9955,0.9717,0.9717
M_base (lat/lon),Demeaned,Handan,5.0,224.0,,0.9747,0.8721,0.8721
M_base (lat/lon),Demeaned,Linfen,3.0,118.0,,0.9779,0.8676,0.8676
M_base (lat/lon),Demeaned,Suzhou,2.0,90.0,,0.995,0.9933,0.9933
