Level,Year,R2,RMSE_log,N_test,Note
Grid,2019,0.8674777763228787,0.5449962489999531,4842.0,
Grid,2020,0.8752866282165037,0.5268805660678036,6742.0,
Grid,2021,0.8295040175885446,0.6334880254704577,7368.0,
Grid,2022,0.7951932525127512,0.7008403275367447,7498.0,
Plant,2019,0.8528401529410412,0.2907634880091418,722.0,
Plant,2020,0.8198014057894046,0.32215826972386474,1025.0,
Plant,2021,0.7589370151976136,0.40595639892081536,1104.0,
Plant,2022,0.7533916561148353,0.43035436483848377,1130.0,
Grid,Overall/CS/Temporal,0.8374348468286341,0.8972451364084139,-1.1414692964668007,R2=overall pooled OOF; RMSE_log column holds CS_R2; N_test column holds Temporal_R2
Plant,Overall/CS/Temporal,0.786256493666434,0.9220122575294015,-0.5804075178406487,R2=overall pooled OOF; RMSE_log column holds CS_R2; N_test column holds Temporal_R2
