row,r,R2,MAE_pp,n,n_units
grid_unit,-0.045921411398570415,-2.437502349830876,52.29935684132753,18625,
plant_unit,-0.1861519951753409,-0.7102867792257488,40.07359928529889,2809,
grid_unit_logdiff,-0.12137660139136011,-1.7722936548940873,45.67451790362212,18625,
plant_unit_logdiff,-0.25478035807169397,-1.017831580947628,38.61788162291393,2809,
grid_unit_annual,0.009212717108005789,-3.567715379562098,30.416702539010267,1693,
plant_unit_annual,-0.14476509112287025,-2.095443855494775,19.44292233294955,255,
grid_unit_annual_logdiff,-0.056796117192463025,-4.536323569703085,27.744227926462855,1693,
plant_unit_annual_logdiff,-0.20312091076893607,-1.8972064636351544,19.45081390005112,255,
national_grid_model,-0.3195798189794238,-1.089545216367502,11.463543416071142,33,442.0
national_plant_model,-0.21242172852972757,-1.0398839183824329,10.839408475323918,33,65.0
national_grid_model_logdiff,-0.3285332364777714,-1.103844427085281,11.400914937741186,33,442.0
national_plant_model_logdiff,-0.22320547940783522,-1.0840392868949804,10.949135738587568,33,65.0
