row,r,R2,MAE_pp,n,n_units
grid_unit,0.22216531232927203,-0.6482805173055317,36.21809043853778,18625,
plant_unit,-0.03857575960620691,-0.3286751318271781,33.68442108792537,2809,
grid_unit_logdiff,0.33634191481879233,-0.3455864187496158,32.44408360196565,18625,
plant_unit_logdiff,-0.017527126596604423,-0.45058665104413986,32.41865997803179,2809,
grid_unit_annual,0.2596120955894047,-0.7653962484795915,16.47980019430287,1693,
plant_unit_annual,0.07985178344098452,-0.6796410576512271,14.903761670945912,255,
grid_unit_annual_logdiff,0.31400275488179064,-0.7460608697526387,15.287762301145763,1693,
plant_unit_annual_logdiff,0.052232588590546566,-0.6088607251899061,14.927806515736403,255,
national_grid_model,0.8504608768906254,0.6105938888321354,4.890317275001851,33,442.0
national_plant_model,0.83264012946039,0.6124350955468405,4.7998734655215545,33,65.0
national_grid_model_logdiff,0.8510459931543212,0.6285752432499254,4.801591375957778,33,442.0
national_plant_model_logdiff,0.8347671958067747,0.6214120855505044,4.766711453065107,33,65.0
