row,n,spearman,R2,note
POOLED_within_province_demeaned,87,0.5168,0.2351,provinces>=2 plants
POOLED_raw_level,96,0.3715,0.0473,all plants
GROWTH_2021_2022_matched,92,,-0.7364,pearson r=0.1947
province:河北,24,0.4017,-0.0746,
province:江苏,9,0.6667,0.1471,
province:辽宁,6,0.8286,0.6402,
province:河南,6,0.7143,0.7086,
province:山西,6,0.0286,-0.0455,
province:山东,5,0.6,0.0854,
province:安徽,4,-0.2,-0.041,
province:云南,3,0.5,0.4947,
province:四川,3,0.5,0.0343,
province:浙江,3,0.5,0.4666,
province:湖南,3,0.5,0.6697,
province:江西,3,-0.5,-0.7025,
province:湖北,3,0.5,0.2063,
province:广西,3,1.0,0.8185,
province:甘肃,2,1.0,0.4379,
province:陕西,2,1.0,0.5015,
province:贵州,2,1.0,0.1475,
province:上海,1,,,
province:广东,1,,,
province:吉林,1,,,
province:天津,1,,,
province:宁夏,1,,,
province:新疆,1,,,
province:重庆,1,,,
province:青海,1,,,
province:黑龙江,1,,,
