Scheme,Level,Block,n_plants,Spearman_rho,R2_demeaned,R2_raw,Contrast_growth_r,Contrast_growth_R2,n_growth_pairs
A_NorthSouth35,plant,POOLED,96,0.3655,0.0578,0.0379,0.0084,-6.2013,255.0
A_NorthSouth35,plant,North_ge35,54,0.3737,0.0071,,,,
A_NorthSouth35,plant,South_lt35,42,0.3871,0.1056,,,,
B_LatBands4,plant,POOLED,96,0.3449,0.08,0.0178,0.0597,-2.3057,255.0
B_LatBands4,plant,B1_south,24,0.5217,0.157,,,,
B_LatBands4,plant,B2,24,0.4861,0.3087,,,,
B_LatBands4,plant,B3,24,0.2765,0.0536,,,,
B_LatBands4,plant,B4_north,24,0.0774,-0.2916,,,,
C_KMeans5,plant,POOLED,96,0.299,0.0047,0.0256,0.0153,-2.446,255.0
C_KMeans5,plant,C0,17,0.451,0.0994,,,,
C_KMeans5,plant,C1,5,0.7,0.3659,,,,
C_KMeans5,plant,C2,23,0.086,-0.2376,,,,
C_KMeans5,plant,C3,24,0.3304,0.0942,,,,
C_KMeans5,plant,C4,27,0.2228,-0.0648,,,,
A_NorthSouth35_GRID,grid,POOLED,638,0.1638,-0.1068,,,,0.0
A_NorthSouth35_GRID,grid,North_ge35,388,0.1854,-0.095,,,,
A_NorthSouth35_GRID,grid,South_lt35,250,0.16,-0.1223,,,,
C_KMeans5_GRID,grid,POOLED,638,0.302,-0.0915,,,,0.0
C_KMeans5_GRID,grid,C0,28,-0.1527,-0.1859,,,,
C_KMeans5_GRID,grid,C1,150,0.2798,-0.0013,,,,
C_KMeans5_GRID,grid,C2,173,0.3195,-0.139,,,,
C_KMeans5_GRID,grid,C3,194,0.3228,-0.1453,,,,
C_KMeans5_GRID,grid,C4,93,0.3359,-0.0084,,,,
